,Sector,intersection,health,climate
0,Banks,0.0,3.5,0.0
1,Chemicals,7.0,59.0,36.0
2,Diversified,0.0,9.0,1.0
3,Financial Services,1.0,67.75,4.0
4,Food & Drug Retailers,0.0,124.0,6.0
5,Food Producers,0.0,21.25,1.75
6,Forestry & Paper,0.0,37.0,2.0
7,General Industrials,0.0,21.0,0.0
8,General Retailers,2.0,86.0,10.0
9,Industrial Engineering,0.0,12.0,0.0
10,Life Insurance,0.0,7.0,2.0
11,Media,0.0,2.0,0.0
12,Nonlife Insurance,0.0,7.0,1.0
13,Support Services,0.0,11.6,0.4
14,Technology Hardware & Equip...,0.0,0.0,0.0
